Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Learner
3,3,3,2,5,5,4,4,3,1,4,2,1,4,4,2,Auditory
3,4,2,3,5,4,5,4,3,2,1,3,2,5,2,2,Auditory
4,5,5,5,2,1,3,4,1,3,4,2,4,3,4,2,ReadWrite
2,4,3,4,5,5,5,5,1,2,4,2,2,2,4,2,Auditory
2,3,3,2,2,2,4,3,5,5,5,4,3,1,2,3,Kinesthetic
2,3,1,2,4,4,5,5,2,3,1,2,3,3,2,3,Auditory
4,5,4,5,4,3,4,3,3,3,2,2,2,2,3,3,ReadWrite
5,4,5,4,2,2,3,2,2,2,4,3,1,3,2,4,ReadWrite
3,3,3,2,3,3,1,2,5,4,5,5,3,2,1,2,Kinesthetic
1,1,1,3,5,4,5,5,2,3,2,3,3,4,2,2,Auditory
4,4,5,5,3,2,2,4,3,3,5,4,4,4,3,2,ReadWrite
4,3,2,3,4,5,5,5,1,2,2,3,2,1,4,5,Auditory
4,2,3,4,5,5,5,4,3,3,3,2,3,3,2,3,Auditory
3,2,4,1,4,1,2,2,5,5,4,5,3,2,3,3,Kinesthetic
1,3,2,1,3,2,3,3,5,5,4,5,3,2,3,2,Kinesthetic
3,2,2,4,2,2,2,2,4,5,5,5,4,3,2,2,Kinesthetic
1,2,2,2,1,1,3,3,5,3,2,4,5,5,4,5,Visual
2,1,3,1,2,4,3,5,5,4,4,5,4,2,2,3,Kinesthetic
3,3,2,3,5,4,5,5,4,2,3,4,4,3,3,3,Auditory
4,1,2,1,5,5,5,5,4,3,3,1,4,3,4,1,Auditory
3,3,3,3,4,5,5,5,3,3,3,3,2,3,2,3,Auditory
2,5,2,3,4,3,3,3,5,5,4,4,4,1,2,1,Kinesthetic
3,3,4,1,4,5,1,2,3,3,2,3,5,5,5,5,Visual
3,2,2,3,3,4,2,2,2,3,3,3,5,5,5,5,Visual
5,4,5,5,3,2,2,4,2,4,2,1,2,2,2,2,ReadWrite
2,4,2,2,4,5,5,5,3,3,4,1,3,3,2,1,Auditory
2,2,3,3,3,3,2,3,2,2,2,3,5,4,4,5,Visual
4,1,3,3,5,5,4,5,2,4,2,2,1,2,2,2,Auditory
5,5,4,4,2,2,1,2,3,3,4,3,2,1,4,2,ReadWrite
4,5,2,2,5,5,4,5,3,2,2,2,3,1,2,2,Auditory
5,4,5,5,5,3,4,2,1,3,3,3,4,2,1,4,ReadWrite
3,1,3,2,4,3,3,2,2,2,3,1,5,5,5,4,Visual
1,1,3,3,2,2,4,3,2,1,2,2,5,4,5,5,Visual
5,5,5,5,3,3,2,3,2,3,3,2,3,3,3,4,ReadWrite
4,4,3,2,1,3,2,2,2,2,3,1,5,5,5,5,Visual
5,5,5,5,1,2,1,3,1,2,3,3,3,2,4,2,ReadWrite
1,3,1,1,3,3,2,2,4,4,5,5,5,3,3,3,Kinesthetic
2,2,2,3,4,2,3,3,5,5,5,5,1,4,1,2,Kinesthetic
4,5,5,4,2,3,2,4,2,2,3,1,2,5,4,1,ReadWrite
5,5,4,5,2,4,5,5,3,2,2,1,3,1,1,3,ReadWrite
2,3,2,2,4,5,5,5,2,2,2,2,3,2,3,2,Auditory
1,3,1,3,5,5,4,4,3,5,2,2,2,2,3,3,Auditory
2,3,3,1,2,2,2,5,4,5,5,4,2,3,5,3,Kinesthetic
2,1,2,2,4,5,5,5,3,2,3,2,3,2,3,4,Auditory
2,1,2,3,4,5,5,5,3,2,2,3,3,3,3,3,Auditory
3,4,5,3,3,2,3,3,5,5,5,5,3,3,2,2,Kinesthetic
5,5,4,5,4,4,3,2,2,3,3,3,2,1,3,3,ReadWrite
2,2,3,2,1,2,2,3,1,3,2,2,5,4,5,5,Visual
3,4,1,1,3,3,3,3,4,4,4,5,1,3,3,3,Kinesthetic
1,2,3,3,1,2,5,1,3,1,4,2,4,5,5,5,Visual
3,4,2,3,5,4,4,4,2,3,3,1,3,2,2,2,Auditory
3,2,2,1,2,3,4,3,5,4,5,5,2,1,2,1,Kinesthetic
2,4,2,3,1,2,1,3,5,5,5,5,1,2,2,3,Kinesthetic
1,3,4,4,1,2,3,3,4,4,2,3,5,4,5,5,Visual
4,5,5,4,2,3,3,2,2,1,4,2,1,3,3,1,ReadWrite
2,2,3,4,2,2,2,3,2,1,2,5,5,5,5,5,Visual
2,1,3,5,5,4,5,5,2,2,4,3,3,2,3,3,Auditory
3,2,3,2,3,4,2,3,4,3,3,3,4,5,5,5,Visual
3,3,1,4,1,2,2,2,3,3,4,3,5,5,5,4,Visual
